"","text"
"1","yukarena utang merintah jg utang bangsa indonesia berarti jg hutang nya aku sebagai caain covid  kalo orang lain itu terserah merekabut aku ya inian keadaan merintah mereka tetabala tentara allah swt berarti sahabat baik nya aku "
"2","yuks kawal kebijakan merintah jangan sami disalah gunakan oknum tidak bertanggung jawab indonesia menang lawan covid "
"3","yukk samasama bahu membahu membantuu merintah memutus rantaii covid dan memutus rantai kebenciann suya indonesia normal kembali"
"4","yuk sahabat kita samasama menjaga jarak antar manusialebih banyak melakukan kegiatan dirumah sesuai kebijakan dari merintah indonesia untuk mencegah nularan virus corona  covid melalui bersamacegahcoronactwittercomowls"
"5","yuk sahabat kita sama sama menjaga jarak antar manusia dan lebih banyak melakukan kegiatan dirumah sesuai dengan kebijakan dari merintah indonesia untuk mencegah nularan virus corona  covid stay safe stay strong and stay together bersamacegahcoronactwittercomzrobi"
"6","yuk merintah  nduduk indonesia kasih wawasan  informasi keda masyarakat awam mengenai covid  suya nggak ada lagi diskriminasi da sien keluarga  jenazah covid  jangan jadi tolol yang berkenjangan gara gara virus sialan ini bersatuusircorona dirumahaja"
"7","yuk k karantinawilayah lockdownindonesia sami kan kita melihat kenaikan kasus sitif covid hari ke hari jumlah kematian yg terus meningkat mari cari solusi untuk membantu segala damk buruk lockdown bagi masyarakat sami kan indonesia begini k"
"8","yuk gaesss ikuti aturan atau kebijakan merintah yang memang kita diharuskan socialdistancing dan dirumahaja dulu  kasusâvirus coronaâcovid di indonesia terus bertambah data hari senin  jumlahâ "
"9","yuk  dukung terus langkah sitif merintah dlm tanggulangi wabah covid ini sti merintah memikirkan kentingan rakyat indonesia saatnya kita sbg wni menyuarakan hal sitif  tdk buat kegaduhan keresahan ataun hoaks"
"10","yth kita sluruh rakyat indonesia dgn ini sy mengajak sluruh rakyat bersatu membuat indonesia bebas covid sdh cukuyg sakityg k dsb mari lakukan aturan merintah "
"11","yth b mari kita sebagai rakyatmembantu dalam doa k agar wabah berlalu kita sebagai rakyat mari dukung merintah k misal dgn kekayaan kita membangun rs karantina yg terjangkit covid kalo hanya saran saja  jt rakyat indonesia bisa beri saran juga k"
"12","you gak mikir negara sebesar as aja gak berani lock down bera besar dana yg hrs dikeluarkan utk menanggung biaya hidurakyat kecil yg terdamk ini wabah bukan kesalahan sia jgn asal menyalahkan m sdh berusaha sekuat tenaga menangani damk corona terutama utk rakyat"
"13","you gak mikir negara sebesar as aja gak berani lock down bera besar dana yg hrs dikeluarkan utk menanggung biaya hidurakyat kecil yg terdamk ini wabah bukan kesalahan sia jgn asal menyalahkan m sdh berusaha sekuat tenaga menangani damk corona terutama utk rakyat"
"14","yok muhasabah diri yok ojo nyalahne merintah terus bareng melawan corona mencegah lebih baik darida mengobati banyakin ngaji banyakin shalawat doain semua warga indonesia selamet covid lawancoronabersama"
"15","yok muhasabah diri yok ojo nyalahne merintah terus bareng melawan corona mencegah lebih baik darida mengobati banyakin ngaji banyakin shalawat doain semua warga indonesia selamet covid lawancoronabersama"
"16","yg rtama karena org indonesia banyak yg menyelekan nya yg kedua merintah kurang tegas dan kurang sigadalam menangani covid   ini"
"17","yg rtama karena org indonesia banyak yg menyelekan nya yg kedua merintah kurang tegas dan kurang sigadalam menangani covid   ini"
"18","yg rlu disalahkan bukan kang angkotnya ta merintah dan menkes mereka tidak memberikan edukasi yang baik da masyarakat tentang bahaya covid dan nanggulangannya jangan salahkan mereka ngeyel itu karma karena merintah ngeyel bhw indonesia bebas virus"
"19","yg rlu disalahkan bukan kang angkotnya ta merintah dan menkes mereka tidak memberikan edukasi yang baik da masyarakat tentang bahaya covid dan nanggulangannya jangan salahkan mereka ngeyel itu karma karena merintah ngeyel bhw indonesia bebas virus"
"20","yg sti gabakal milih lockdown karna bakal bikin damk negatif yg besar bgt salah satunya krisis moneter yg bs lebih dr th "
